District,Crop,Average_Price,Price_Volatility,Price_Trend
Ajmer,Bajra,2458.255680619733,277.14934713415784,-14.4108413744142
Ajmer,Barley,2479.090532131035,224.21801866417482,41.58834654923598
Ajmer,Chilli,2608.7949394649886,264.64068803063975,-128.41063236395053
Ajmer,Citrus,2584.4572310757026,254.93179490866285,-104.42694508089691
Ajmer,Coriander,2499.974432970563,301.7801518738215,98.70492257629785
Ajmer,Cotton,2556.031013030241,329.814173061192,-287.32471711035356
Ajmer,Cumin,2485.919890320584,385.7855014370738,7.815464419838121
Ajmer,Fennel,2436.16073414115,328.5196270392623,93.04381484032236
Ajmer,Fenugreek,2459.3967608095586,336.8618102587897,-5.9558410298217
Ajmer,Garlic,2386.724344739221,339.915025092839,52.811285760600526
Ajmer,Gram,2514.4346222362988,263.56486376415717,90.41471879479228
Ajmer,Guava,2412.8008382633275,216.4704089676421,-51.84639801066651
Ajmer,Maize,2513.017791635528,358.7174179668526,-51.35285858715823
Ajmer,Mango,2419.4769442393545,287.406076742593,-92.70255297494792
Ajmer,Mustard,2559.9376341465254,337.6065445302241,93.49794357769974
Ajmer,Oilseeds,2447.799582163897,314.04850300284903,-88.91766259816136
Ajmer,Onion,2492.403324478683,253.94268153308914,-182.9950896678531
Ajmer,Opium,2516.613879785925,343.3248243876888,-184.09369600434687
Ajmer,Pomegranate,2485.493684389021,361.31989302273314,-44.82758420247788
Ajmer,Pulses,2522.4990034676835,334.52840056174574,-122.27702636882337
Ajmer,Sugarcane,2496.761937413637,371.7014042161029,38.96302850322494
Ajmer,Tomato,2398.7974368600517,317.5271365598122,120.12018078079888
Ajmer,Wheat,2437.9031415239688,241.12624618577496,4.503758758891792
Alwar,Bajra,2394.221269647179,242.1820867950497,118.98296516864873
Alwar,Barley,2413.9898348072156,271.3699708123437,86.2933972867854
Alwar,Chilli,2570.32437740795,301.7631417217884,86.76888345629207
Alwar,Citrus,2478.8542222968263,263.59636121257967,340.7124223410011
Alwar,Coriander,2460.2661253266865,357.49294060823,2.163949460238926
Alwar,Cotton,2557.4958318309104,242.7009518956899,95.62610013976284
Alwar,Cumin,2462.5931128552493,261.74395310097293,-32.59430841460316
Alwar,Fennel,2485.064402963638,352.49435821123166,-40.41453015708105
Alwar,Fenugreek,2359.135988491312,304.8512703955566,-195.70255046636964
Alwar,Garlic,2528.8189447079412,263.352924211253,296.478501081692
Alwar,Gram,2526.732325476933,278.24338766668,-52.21825896305323
Alwar,Guava,2449.5066072578297,393.12308276116,-215.55321920132823
Alwar,Maize,2575.5398126719992,322.3504539860721,199.5732078637804
Alwar,Mango,2456.5885699146734,325.69308216421206,-9.696984694991025
Alwar,Mustard,2524.2067437682936,292.23551729868035,234.210612756137
Alwar,Oilseeds,2423.446061721447,252.31632608328425,126.79551962368693
Alwar,Onion,2464.5611097430974,330.487717549732,189.22219328118777
Alwar,Opium,2559.528576753733,319.07460955994225,1.87730635118284
Alwar,Pomegranate,2412.0135755408783,271.33129491782745,-35.076677235859215
Alwar,Pulses,2421.2287700549305,199.14821140858956,118.42926079120296
Alwar,Sugarcane,2441.395499450784,295.1848422073701,-119.79896052809897
Alwar,Tomato,2498.563704124966,282.8798758148279,-75.51769971045312
Alwar,Wheat,2479.757253275183,391.04114161292586,-290.015071358001
Bhilwara,Bajra,2560.8717200636356,236.42500243619514,141.9375313439237
Bhilwara,Barley,2583.5418832679707,252.2981700814133,211.7593599575213
Bhilwara,Chilli,2603.492182982168,277.12562521838623,-6.155608085795384
Bhilwara,Citrus,2521.2294029530503,280.30322522981425,-68.6014904709033
Bhilwara,Coriander,2703.3817006090985,235.11686265536576,198.72561027512006
Bhilwara,Cotton,2577.1034544330764,305.4366722745149,120.71996455962663
Bhilwara,Cumin,2441.307705208337,229.5698778798867,22.735909830844623
Bhilwara,Fennel,2497.525620636629,198.78146915174207,13.04575819291319
Bhilwara,Fenugreek,2395.123197196325,302.18302324418806,-149.124636198497
Bhilwara,Garlic,2574.8737705489516,323.56940331748535,-332.3045959409121
Bhilwara,Gram,2540.6647921373474,303.3902739725327,190.92082041466003
Bhilwara,Guava,2571.038184435212,383.0889987647947,284.2001720438332
Bhilwara,Maize,2564.7389671263845,280.1952312617438,24.789414604952373
Bhilwara,Mango,2470.8879837233767,349.00917395365167,-75.6934263913202
Bhilwara,Mustard,2485.7560886235715,246.2831469107493,-116.45285887458363
Bhilwara,Oilseeds,2572.1419740866495,262.7972748944641,11.953323777736209
Bhilwara,Onion,2499.272069933312,313.63439667800384,81.01883349342887
Bhilwara,Opium,2429.9112782833595,329.01371240129174,-193.25336973089236
Bhilwara,Pomegranate,2536.6277299521826,268.4667055561834,-58.06310506115809
Bhilwara,Pulses,2659.08827357726,281.0703717009987,-25.243724503492558
Bhilwara,Sugarcane,2626.7664802046993,346.505037229815,106.38506022855107
Bhilwara,Tomato,2585.2694299815,361.5020768571169,34.91633673448848
Bhilwara,Wheat,2517.4305519048835,281.46485919555346,-33.28082078288222
Hanumangarh,Bajra,2344.058933480805,270.949323127899,-83.43510362909235
Hanumangarh,Barley,2560.6338826366573,321.0677540011331,66.57337261613232
Hanumangarh,Chilli,2572.77472190949,272.596436405743,29.529625191262312
Hanumangarh,Citrus,2571.402333724482,212.84995453571568,-33.963846166040575
Hanumangarh,Coriander,2553.2448768416994,256.60488801339017,4.444493545754708
Hanumangarh,Cotton,2447.1388047829505,318.03204408467894,163.67429764067967
Hanumangarh,Cumin,2468.3085879503096,265.3705349611329,-124.67212477456732
Hanumangarh,Fennel,2513.331493876745,401.6855356183184,21.38991614804098
Hanumangarh,Fenugreek,2480.4399895615434,288.7220797396023,-97.27008198043795
Hanumangarh,Garlic,2483.5412535473192,225.56342758154267,-81.03265486833611
Hanumangarh,Gram,2622.345889535429,251.59729286419295,34.662965248196464
Hanumangarh,Guava,2463.9103324477296,309.33123526934645,-1.4046529210581769
Hanumangarh,Maize,2487.8483664724167,256.40323019502836,-81.69245905284988
Hanumangarh,Mango,2497.2234059590314,350.5513325919928,145.47615391122
Hanumangarh,Mustard,2492.0835694630096,255.7136168317574,151.23803836729948
Hanumangarh,Oilseeds,2413.692546468509,238.5835111031641,-140.0562415335624
Hanumangarh,Onion,2592.7250371916166,263.6853652156814,-0.807267255342992
Hanumangarh,Opium,2429.645185810749,241.51811495740964,5.02760230466712
Hanumangarh,Pomegranate,2486.2285110710563,312.7758807034228,101.13144924290056
Hanumangarh,Pulses,2463.7618975280384,244.56341874289987,37.671945493833434
Hanumangarh,Sugarcane,2572.8001730510396,215.28116223946355,112.79936715658984
Hanumangarh,Tomato,2493.535664595839,339.36386319881217,340.1557451237091
Hanumangarh,Wheat,2391.2379693776215,367.04899655023235,310.2874179878692
